field_id,lucode,crop_name,fs25_fruit,category,area_ha,priority
field_0220,AC17,Spring Barley,barley,arable,0.416,1
field_0221,AC17,Spring Barley,barley,arable,0.416,1
field_0222,AC32,Maize,maize,arable,0.416,1
field_0223,AC17,Spring Barley,barley,arable,0.416,1
field_0224,AC17,Spring Barley,barley,arable,0.416,1
field_0225,AC32,Maize,maize,arable,0.416,1
field_0226,AC17,Spring Barley,barley,arable,0.416,1
field_0227,AC32,Maize,maize,arable,0.416,1
field_0228,AC17,Spring Barley,barley,arable,0.416,1
field_0229,AC32,Maize,maize,arable,0.416,1
field_0230,AC19,Spring Oats,oat,arable,0.416,1
field_0231,AC19,Spring Oats,oat,arable,0.416,1
field_0232,AC19,Spring Oats,oat,arable,0.416,1
field_0233,AC19,Spring Oats,oat,arable,0.416,1
field_0234,AC19,Spring Oats,oat,arable,0.416,1
field_0235,AC19,Spring Oats,oat,arable,0.416,1
field_0236,AC19,Spring Oats,oat,arable,0.416,1
field_0237,AC01,Winter Wheat,wheat,arable,0.416,1
field_0238,AC01,Winter Wheat,wheat,arable,0.416,1
field_0239,AC19,Spring Oats,oat,arable,0.416,1
field_0240,AC19,Spring Oats,oat,arable,0.416,1
field_0241,AC19,Spring Oats,oat,arable,0.416,1
field_0242,AC19,Spring Oats,oat,arable,0.416,1
field_0243,AC01,Winter Wheat,wheat,arable,0.416,1
field_0244,AC32,Maize,maize,arable,0.416,1
field_0245,AC19,Spring Oats,oat,arable,0.416,1
field_0246,AC01,Winter Wheat,wheat,arable,0.416,1
field_0247,AC01,Winter Wheat,wheat,arable,0.416,1
field_0248,AC01,Winter Wheat,wheat,arable,0.416,1
field_0249,AC32,Maize,maize,arable,0.416,1
field_0250,AC19,Spring Oats,oat,arable,0.416,1
field_0251,AC19,Spring Oats,oat,arable,0.416,1
field_0252,AC17,Spring Barley,barley,arable,0.416,1
field_0253,AC17,Spring Barley,barley,arable,0.416,1
field_0254,AC01,Winter Wheat,wheat,arable,0.416,1
field_0255,AC06,Winter Oilseed Rape,oilseedRape,arable,0.416,1
field_0256,AC32,Maize,maize,arable,0.416,1
field_0257,AC01,Winter Wheat,wheat,arable,0.416,1
field_0258,AC01,Winter Wheat,wheat,arable,0.416,1
field_0259,AC19,Spring Oats,oat,arable,0.416,1
field_0260,AC32,Maize,maize,arable,0.416,1
field_0261,AC19,Spring Oats,oat,arable,0.416,1
field_0262,AC17,Spring Barley,barley,arable,0.416,1
field_0263,AC17,Spring Barley,barley,arable,0.416,1
field_0264,AC17,Spring Barley,barley,arable,0.416,1
field_0265,AC17,Spring Barley,barley,arable,0.416,1
field_0266,AC01,Winter Wheat,wheat,arable,0.416,1
field_0267,AC17,Spring Barley,barley,arable,0.416,1
field_0268,AC17,Spring Barley,barley,arable,0.416,1
field_0269,AC01,Winter Wheat,wheat,arable,0.416,1
field_0270,AC17,Spring Barley,barley,arable,0.416,1
field_0271,AC19,Spring Oats,oat,arable,0.416,1
field_0272,AC01,Winter Wheat,wheat,arable,0.416,1
field_0273,AC06,Winter Oilseed Rape,oilseedRape,arable,0.416,1
field_0274,AC32,Maize,maize,arable,0.416,1
field_0275,AC32,Maize,maize,arable,0.416,1
field_0276,AC17,Spring Barley,barley,arable,0.416,1
field_0277,AC17,Spring Barley,barley,arable,0.416,1
field_0278,AC17,Spring Barley,barley,arable,0.416,1
field_0279,AC17,Spring Barley,barley,arable,0.416,1
field_0280,AC01,Winter Wheat,wheat,arable,0.416,1
field_0281,AC01,Winter Wheat,wheat,arable,0.416,1
field_0282,AC17,Spring Barley,barley,arable,0.416,1
field_0283,AC01,Winter Wheat,wheat,arable,0.416,1
field_0284,AC17,Spring Barley,barley,arable,0.416,1
field_0285,AC01,Winter Wheat,wheat,arable,0.416,1
field_0286,AC17,Spring Barley,barley,arable,0.416,1
field_0287,AC17,Spring Barley,barley,arable,0.416,1
field_0288,AC06,Winter Oilseed Rape,oilseedRape,arable,0.416,1
field_0289,AC17,Spring Barley,barley,arable,0.416,1
field_0290,AC17,Spring Barley,barley,arable,0.416,1
field_0291,AC19,Spring Oats,oat,arable,0.416,1
field_0292,AC17,Spring Barley,barley,arable,0.416,1
field_0293,AC19,Spring Oats,oat,arable,0.416,1
field_0294,AC17,Spring Barley,barley,arable,0.416,1
field_0295,AC17,Spring Barley,barley,arable,0.416,1
field_0296,AC01,Winter Wheat,wheat,arable,0.416,1
field_0297,AC17,Spring Barley,barley,arable,0.416,1
field_0298,AC17,Spring Barley,barley,arable,0.416,1
field_0299,AC19,Spring Oats,oat,arable,0.416,1
field_0300,AC01,Winter Wheat,wheat,arable,0.416,1
field_0301,AC01,Winter Wheat,wheat,arable,0.416,1
field_0302,AC01,Winter Wheat,wheat,arable,0.416,1
field_0303,AC01,Winter Wheat,wheat,arable,0.416,1
field_0304,AC01,Winter Wheat,wheat,arable,0.416,1
field_0305,AC01,Winter Wheat,wheat,arable,0.416,1
field_0306,AC01,Winter Wheat,wheat,arable,0.416,1
field_0307,AC01,Winter Wheat,wheat,arable,0.416,1
field_0308,AC01,Winter Wheat,wheat,arable,0.416,1
field_0309,AC01,Winter Wheat,wheat,arable,0.416,1
field_0310,AC01,Winter Wheat,wheat,arable,0.416,1
field_0311,AC01,Winter Wheat,wheat,arable,0.416,1
field_0312,AC01,Winter Wheat,wheat,arable,0.416,1
field_0313,AC17,Spring Barley,barley,arable,0.416,1
field_0314,AC01,Winter Wheat,wheat,arable,0.416,1
field_0315,AC17,Spring Barley,barley,arable,0.416,1
field_0316,AC17,Spring Barley,barley,arable,0.416,1
field_0317,AC01,Winter Wheat,wheat,arable,0.416,1
field_0318,AC17,Spring Barley,barley,arable,0.416,1
field_0319,AC17,Spring Barley,barley,arable,0.416,1
field_0320,AC17,Spring Barley,barley,arable,0.416,1
field_0321,AC01,Winter Wheat,wheat,arable,0.416,1
field_0322,AC01,Winter Wheat,wheat,arable,0.416,1
field_0323,AC01,Winter Wheat,wheat,arable,0.416,1
field_0324,AC01,Winter Wheat,wheat,arable,0.416,1
field_0325,AC01,Winter Wheat,wheat,arable,0.416,1
field_0326,AC17,Spring Barley,barley,arable,0.416,1
field_0327,AC01,Winter Wheat,wheat,arable,0.416,1
field_0328,AC01,Winter Wheat,wheat,arable,0.416,1
field_0329,AC01,Winter Wheat,wheat,arable,0.416,1
field_0330,AC01,Winter Wheat,wheat,arable,0.416,1
field_0331,AC01,Winter Wheat,wheat,arable,0.416,1
field_0332,AC01,Winter Wheat,wheat,arable,0.416,1
field_0333,AC01,Winter Wheat,wheat,arable,0.416,1
field_0334,AC17,Spring Barley,barley,arable,0.416,1
field_0335,AC19,Spring Oats,oat,arable,0.416,1
field_0336,AC01,Winter Wheat,wheat,arable,0.416,1
field_0337,AC01,Winter Wheat,wheat,arable,0.416,1
field_0338,AC17,Spring Barley,barley,arable,0.416,1
field_0339,AC01,Winter Wheat,wheat,arable,0.416,1
field_0340,AC17,Spring Barley,barley,arable,0.416,1
field_0341,AC17,Spring Barley,barley,arable,0.416,1
field_0342,AC01,Winter Wheat,wheat,arable,0.416,1
field_0343,AC17,Spring Barley,barley,arable,0.416,1
field_0344,AC17,Spring Barley,barley,arable,0.416,1
field_0345,AC17,Spring Barley,barley,arable,0.416,1
field_0346,AC17,Spring Barley,barley,arable,0.416,1
field_0347,AC17,Spring Barley,barley,arable,0.416,1
field_0348,AC17,Spring Barley,barley,arable,0.416,1
field_0349,AC17,Spring Barley,barley,arable,0.416,1
field_0350,AC17,Spring Barley,barley,arable,0.416,1
field_0351,AC01,Winter Wheat,wheat,arable,0.416,1
field_0352,AC17,Spring Barley,barley,arable,0.416,1
field_0353,AC17,Spring Barley,barley,arable,0.416,1
field_0354,AC01,Winter Wheat,wheat,arable,0.416,1
